id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
19,Levenshtein,Levenshtein SMILES augmentation for reaction datasets,"A tool for augmenting reaction datasets using Levenshtein distance-based SMILES randomization, improving model robustness.",C3;C3-01,data_augmentation;machine_learning,library,Python,https://github.com/MolecularAI/Levenshtein,,Apache-2.0,data-augmentation;smiles;reaction-prediction
20,reaction_utils,Utilities for chemical reaction datasets and templates,"A collection of utilities for processing chemical reaction datasets, including reaction template extraction and handling.",C3;C3-01,template_extraction;data_processing,library,Python,https://github.com/MolecularAI/reaction_utils,,Apache-2.0,reaction-templates;data-processing;cheminformatics
21,ctfile,Parser for chemical table files (CTfile),"A Python parser for the CTfile family of chemical file formats (Molfile, SDfile, etc.), enabling reading and writing of chemical structure data.",C3;C3-01,file_parsing;data_io,library,Python,https://github.com/MoseleyBioinformaticsLab/ctfile,http://ctfile.readthedocs.io/,BSD-3-Clause-Clear,file-parser;molfile;sdfile
22,nfp,Keras layers for molecular deep learning,"A library providing Keras layers for building end-to-end deep learning models for molecules and materials, integrating with RDKit and Pymatgen.",C3;C3-01,machine_learning;molecular_modeling,library,Python,https://github.com/NREL/nfp,,NOASSERTION,deep-learning;keras;materials-science
23,RanDepict,Random chemical structure depiction generator,"A utility to generate diverse chemical structure depictions with random styles and augmentations, useful for training optical chemical structure recognition (OCSR) models.",C3;C3-01,data_generation;visualization,solver,Python,https://github.com/OBrink/RanDepict,,MIT,ocsr;data-augmentation;chemical-structures
24,ccdutils,Tools for PDB chemical component definitions,A set of Python tools using RDKit to handle and process chemical component definitions from the wwPDB Chemical Component Dictionary.,C3;C3-01,data_processing;structural_biology,library,Python,https://github.com/PDBeurope/ccdutils,,Apache-2.0,pdb;chemical-components;rdkit
25,Free-Wilson,Free-Wilson SAR analysis implementation,An implementation of the Free-Wilson method for Structure-Activity Relationship (SAR) analysis using RDKit.,C3;C3-01,sar_analysis;drug_discovery,solver,Python,https://github.com/PatWalters/Free-Wilson,,MIT,sar;free-wilson;rdkit
26,rd_filters,Structural alert filtering using RDKit and ChEMBL,"A script to filter molecules based on structural alerts (e.g., PAINS, Glaxo) using RDKit and data from ChEMBL.",C3;C3-01,filtering;drug_discovery,solver,Python,https://github.com/PatWalters/rd_filters,,MIT,structural-alerts;filtering;chembl
27,solubility,ESOL solubility prediction implementation,An implementation of Delaney's ESOL method for estimating aqueous solubility of molecules using RDKit.,C3;C3-01,property_prediction;solubility,solver,Python,https://github.com/PatWalters/solubility,,MIT,solubility;esol;property-prediction
28,useful_rdkit_utils,Collection of useful RDKit functions,"A repository containing various helper functions and utilities for working with RDKit, addressing common cheminformatics tasks.",C3;C3-01,data_processing;cheminformatics,library,Jupyter Notebook,https://github.com/PatWalters/useful_rdkit_utils,,MIT,rdkit;utilities;cheminformatics
29,RadonPy,Polymer physical property calculation library,"A Python library to automate physical property calculations for polymer informatics, including molecular dynamics simulations.",C3;C3-01,property_prediction;polymer_informatics,library,Python,https://github.com/RadonPy/RadonPy,,BSD-3-Clause,polymers;molecular-dynamics;property-prediction
30,cheminformatics-microservice,Microservices for cheminformatics API calls,"A set of microservices designed to provide cheminformatics functionality via API calls, supporting integration into larger systems.",C3;C3-01,service_api;cheminformatics,service,JavaScript,https://github.com/Steinbeck-Lab/cheminformatics-microservice,,MIT,microservices;api;cheminformatics
31,SynTemp,Graph-based reaction template extraction,A tool for extracting reaction templates from chemical reaction data using a graph-based approach.,C3;C3-01,template_extraction;reaction_prediction,solver,Python,https://github.com/TieuLongPhan/SynTemp,,MIT,reaction-templates;graph-algorithms;retrosynthesis
32,ScaffoldGraph,Library for scaffold network generation and analysis,An open-source cheminformatics library built using RDKit and NetworkX for generating and analyzing scaffold networks and trees.,C3;C3-01,scaffold_analysis;network_analysis,library,Python,https://github.com/UCLCheminformatics/ScaffoldGraph,https://scaffoldgraph.readthedocs.io/,MIT,scaffolds;networkx;rdkit
33,moldrug,Drug-oriented optimization package on chemical space,"A Python package designed for drug-oriented optimization in chemical space, utilizing genetic algorithms for molecular generation and optimization.",Chemistry;Drug Discovery,molecular_optimization;drug_design,library,Python,https://github.com/ale94mleon/moldrug,,Apache-2.0,genetic-algorithm;optimization;drug-discovery
34,rdkit_ipynb_tools,RDKit utilities for Jupyter Notebooks,"A collection of tools and helper functions to enhance the usage of RDKit within IPython/Jupyter Notebooks, facilitating chemical data visualization and analysis.",Chemistry;Cheminformatics,visualization;data_processing,library,Jupyter Notebook,https://github.com/apahl/rdkit_ipynb_tools,,MIT,rdkit;jupyter;visualization
35,Reaction Decoder Tool (RDT),Atom-Atom Mapping Tool for chemical reactions,"A robust tool for extracting reaction templates and performing atom-atom mapping on chemical reactions, essential for reaction prediction and metabolic pathway analysis.",Chemistry;Reaction Prediction,atom_mapping;reaction_processing,solver,Java,https://github.com/asad/ReactionDecoder,https://github.com/asad/ReactionDecoder,LGPL-3.0,atom-mapping;reaction-templates;cheminformatics
36,MolPipeline,Scikit-learn wrapper for RDKit molecular processing,"A Python package that integrates RDKit molecular processing into scikit-learn pipelines, enabling streamlined machine learning workflows for cheminformatics.",Chemistry;Cheminformatics,pipeline_construction;molecular_processing,library,Jupyter Notebook,https://github.com/basf/MolPipeline,,MIT,scikit-learn;rdkit;pipeline
37,mols2grid,Interactive 2D molecule viewer for dataframes,"A Python tool that provides an interactive grid interface for viewing 2D molecular structures directly from pandas DataFrames, useful for chemical data exploration.",Chemistry;Cheminformatics,visualization;data_exploration,library,Python,https://github.com/cbouy/mols2grid,https://mols2grid.readthedocs.io/,Apache-2.0,visualization;pandas;rdkit
38,Chembience,Docker-based platform for chemoinformatics services,A containerized platform designed to facilitate the development and deployment of chemoinformatics web applications and microservices.,Chemistry;Cheminformatics,infrastructure;service_deployment,platform,Python,https://github.com/chembience/chembience,http://chembience.org,BSD-3-Clause,docker;chemoinformatics;platform
39,chembl_beaker,RDKit wrapper and REST API,"A wrapper around RDKit that exposes its functionality, often used to provide chemical utility services in the ChEMBL ecosystem.",Chemistry;Cheminformatics,molecular_processing;api_service,library,Python,https://github.com/chembl/chembl_beaker,,None,rdkit;chembl;wrapper
40,ProLIF,Protein-Ligand Interaction Fingerprints generator,"A library to generate interaction fingerprints for protein-ligand complexes from molecular dynamics trajectories or docking poses, aiding in binding analysis.",Chemistry;Structural Biology,interaction_analysis;fingerprint_generation,library,Python,https://github.com/chemosim-lab/ProLIF,https://prolif.readthedocs.io/,Apache-2.0,protein-ligand;interaction-fingerprints;molecular-dynamics
41,rxn-ebm,Energy-based modeling of chemical reactions,"A framework for modeling chemical reactions using energy-based models, capable of scoring reaction feasibility and predicting outcomes.",Chemistry;Reaction Prediction,reaction_modeling;mechanism_prediction,solver,Python,https://github.com/coleygroup/rxn-ebm,,MIT,energy-based-models;reaction-prediction;machine-learning
42,rdchiral,Stereochemistry-aware reaction template handling,"A wrapper for RDKit's reaction handling code that improves the management of stereochemistry during template extraction and application, critical for retrosynthesis.",Chemistry;Retrosynthesis,template_extraction;stereochemistry_handling,library,Jupyter Notebook,https://github.com/connorcoley/rdchiral,,MIT,stereochemistry;rdkit;retrosynthesis
43,retrotemp,Template-based retrosynthesis prediction,"A tool for performing retrosynthetic analysis by predicting reaction templates, implementing methodologies similar to Segler and Waller.",Chemistry;Retrosynthesis,retrosynthesis;template_prediction,solver,Python,https://github.com/connorcoley/retrotemp,,MIT,retrosynthesis;templates;prediction
44,Datamol,High-level molecular processing library,"A lightweight Python library built on top of RDKit that simplifies molecular processing, manipulation, and visualization tasks for cheminformatics.",Chemistry;Cheminformatics,molecular_processing;data_manipulation,library,Python,https://github.com/datamol-io/datamol,https://docs.datamol.io/,Apache-2.0,rdkit;cheminformatics;molecular-manipulation
45,chemistry_drawer,Plotly-based molecule drawer,A Python tool that leverages Plotly to create interactive and high-quality drawings of chemical molecules.,Chemistry;Visualization,visualization;plotting,library,Python,https://github.com/dylanwal/chemistry_drawer,,BSD-3-Clause,visualization;plotly;molecules
46,Indigo Toolkit,Universal cheminformatics toolkit and libraries,"A comprehensive cheminformatics toolkit providing libraries for molecule and reaction processing, canonicalization, and database search (Bingo), supporting multiple languages.",Chemistry;Cheminformatics,molecular_processing;reaction_handling;database_search,library,C++,https://github.com/epam/Indigo,https://lifescience.opensource.epam.com/indigo/,Apache-2.0,cheminformatics;toolkit;reaction-processing
47,Indigo ELN,Open Source Electronic Lab Notebook,"An open-source Electronic Lab Notebook (ELN) for chemistry, facilitating the recording, management, and searching of chemical experiments and reaction data.",Chemistry;Lab Automation,data_management;experiment_tracking,platform,Java,https://github.com/epam/Indigo-ELN-v.-2.0,,MIT,eln;lab-notebook;data-management
48,Indigo (GGA Software),Cheminformatics toolkit (Legacy/Mirror),A cheminformatics toolkit and RDBMS data cartridge (Bingo) for Oracle/SQL Server/PostgreSQL. (Note: Likely the predecessor or mirror of the EPAM Indigo toolkit).,Chemistry;Cheminformatics,molecular_processing;database_cartridge,library,C++,https://github.com/ggasoftware/indigo,,None,cheminformatics;oracle-cartridge;bingo
49,Enzymemap,Atom mapping and correction for enzymatic reactions,"A Python package designed to perform atom mapping, correct reaction representations, and suggest enzymatic reactions, improving data quality for biocatalysis.",Chemistry;Biocatalysis,atom_mapping;reaction_correction,library,Python,https://github.com/hesther/enzymemap,,MIT,enzymatic-reactions;atom-mapping;biocatalysis
50,espsim,Shape and ESP similarity scoring,"A tool for calculating molecular similarity based on shape and Electrostatic Potential (ESP) using RDKit, useful for virtual screening and bioisostere replacement.",Chemistry;Drug Discovery,similarity_scoring;molecular_modeling,library,Jupyter Notebook,https://github.com/hesther/espsim,,MIT,electrostatic-potential;shape-similarity;rdkit
51,ReactionDatabase,Database of atom-mapped reaction SMILES,"A structured collection of reaction properties including atom-mapped reaction SMILES, serving as a dataset resource for reaction prediction models.",Chemistry;Reaction Prediction,dataset;reaction_data,dataset,,https://github.com/hesther/reactiondatabase,,None,reaction-dataset;atom-mapping;smiles
52,templatecorr,Hierarchical template correction for reactions,"A Python tool for the hierarchical correction of reaction templates, aiding in the standardization and cleaning of reaction data for machine learning.",Chemistry;Reaction Prediction,template_extraction;data_cleaning,library,Python,https://github.com/hesther/templatecorr,,BSD-3-Clause,reaction-templates;data-cleaning;hierarchical-correction
53,MolReactGen,Causal language model for molecule and reaction generation,"An auto-regressive causal language model based on GPT-2 for generating molecules (SMILES) and reaction templates (SMARTS), facilitating chemical space exploration.",Chemistry;Generative AI,molecular_generation;reaction_generation,solver,Jupyter Notebook,https://github.com/hogru/MolReactGen,,MIT,gpt-2;generative-model;smiles-generation
54,xyz2mol,Converts XYZ coordinates to RDKit molecular objects with connectivity,"A tool that converts Cartesian coordinates (XYZ) to molecular structures (RDKit Mol objects) by inferring connectivity and bond orders, useful for processing quantum chemistry output.",Chemistry;C3-01,file_conversion;structure_generation,library,Python,https://github.com/jensengroup/xyz2mol,,MIT,rdkit;xyz;topology-generation
55,ChemRxnExtractor,Toolkit for extracting chemical reactions from scientific literature,"A deep learning-based toolkit designed to automatically extract chemical reaction information (reactants, products, conditions) from scientific text, supporting data mining and database construction.",Chemistry;C3-01,reaction_extraction;text_mining,solver,Python,https://github.com/jiangfeng1124/ChemRxnExtractor,,MIT,nlp;reaction-extraction;text-mining
56,AQME,Automated Quantum Mechanical Environments for workflows,"An automated workflow tool for generating conformers (RDKit/CREST), creating QM input files, and post-processing QM outputs, designed to streamline quantum chemistry tasks.",Chemistry;Quantum Chemistry,workflow_automation;conformer_generation;qm_input_generation,workflow,Python,https://github.com/jvalegre/aqme,https://aqme.readthedocs.io,MIT,quantum-chemistry;automation;conformer-generation
57,Retrosynthesis-Prediction,Transformer-based model for retrosynthesis prediction,"An implementation of Transformer sequence-to-sequence models for predicting retrosynthetic routes, including data augmentation strategies for reaction SMILES.",Chemistry;C3,retrosynthesis;reaction_prediction,solver,Jupyter Notebook,https://github.com/kheyer/Retrosynthesis-Prediction,,None,retrosynthesis;transformer;deep-learning
58,Scopy,Library for negative design and HTS/VS database filtering,"A Python library designed for high-throughput screening (HTS) and virtual screening (VS) database design, focusing on negative design (filtering out undesirable compounds) and calculating molecular descriptors.",Chemistry;Drug Discovery,library_design;filtering;admet_prediction,library,Python,https://github.com/kotori-y/Scopy,,MIT,drug-design;screening;filtering
59,scikit-chem,High-level cheminformatics package built on RDKit,"A cheminformatics library that provides a more Pythonic and high-level interface to RDKit, integrating well with the scientific Python stack (numpy, pandas) for molecular data analysis.",Chemistry;C3-01,cheminformatics;data_processing,library,Python,https://github.com/lewisacidic/scikit-chem,,NOASSERTION,rdkit;wrapper;cheminformatics
60,PIDGINv3,Protein target prediction using random forests,"A tool for predicting protein targets for chemical compounds using Random Forest models and reliability-density neighbourhood analysis, aiding in drug discovery and target identification.",Chemistry;Biology,target_prediction;drug_discovery,solver,Python,https://github.com/lhm30/PIDGINv3,,GPL-3.0,target-prediction;machine-learning;bioinformatics
61,eMolFrag,Molecular fragmentation tool based on BRICS algorithm,"A Python implementation of the BRICS algorithm for decomposing molecules into fragments, useful for fragment-based drug design and retrosynthetic analysis.",Chemistry;C3,molecular_fragmentation;structure_decomposition,library,Python,https://github.com/liutairan/eMolFrag,,GPL-3.0,fragmentation;brics;cheminformatics
62,PoseBusters,Plausibility checks for generated molecule poses,"A test suite for validating generated molecular poses, checking for chemical and physical plausibility (e.g., bond lengths, clashes) to ensure quality in molecular docking or generative models.",Chemistry;Drug Discovery,quality_control;pose_validation,library,Python,https://github.com/maabuu/posebusters,,MIT,docking;validation;molecular-modeling
63,OChemR,Optical Chemical Reaction Recognition using Vision Transformers,"A tool that uses Vision Transformers (DETR) to detect and classify molecules, text, and arrows from chemical reaction images, converting them into machine-readable formats like SMILES.",Chemistry;C3-01,reaction_extraction;ocsr;image_recognition,solver,Jupyter Notebook,https://github.com/markmartorilopez/OChemR,,MIT,computer-vision;reaction-extraction;transformer
64,molecular_rectifier,Automated correction of unsanitizable RDKit molecules,"A utility to automatically fix and sanitize molecular structures that fail standard RDKit sanitization checks, handling common valence and connectivity errors.",Chemistry;C3-01,data_cleaning;structure_correction,library,Python,https://github.com/matteoferla/molecular_rectifier,,MIT,rdkit;sanitization;error-correction
65,rdkit_to_params,Generates Rosetta params files from RDKit molecules,"A tool to create and modify Rosetta topology (params) files from RDKit molecule objects, facilitating the use of small molecules in Rosetta modeling workflows.",Chemistry;Structural Biology,file_conversion;parameter_generation,library,Python,https://github.com/matteoferla/rdkit_to_params,,MIT,rosetta;parameterization;rdkit
66,MolVS,Molecule Validation and Standardization library,"A standard Python library for validating, standardizing, and salt-stripping chemical structures, ensuring data consistency for cheminformatics pipelines.",Chemistry;C3-01,data_cleaning;standardization;normalization,library,Python,https://github.com/mcs07/MolVS,,MIT,standardization;validation;rdkit
67,ODDT,Open Drug Discovery Toolkit,"A modular and comprehensive toolkit for computer-aided drug discovery (CADD), providing unified interfaces for various cheminformatics backends (OpenBabel, RDKit) and implementing scoring functions and interaction fingerprints.",Chemistry;Drug Discovery,drug_discovery;scoring;virtual_screening,library,Python,https://github.com/oddt/oddt,,BSD-3-Clause,cadd;scoring-functions;interaction-fingerprints
68,ORD Schema,Schema and utilities for the Open Reaction Database,"Provides the data schema (Protocol Buffers) and Python/JavaScript libraries for defining, validating, and manipulating chemical reaction data in the Open Reaction Database format.",Chemistry;C3-01,data_standardization;database_schema,library,JavaScript,https://github.com/open-reaction-database/ord-schema,,Apache-2.0,reaction-database;schema;standardization
69,RDKit,Open source cheminformatics and machine learning software,"The core RDKit library providing extensive functionality for cheminformatics, molecular modeling, descriptor calculation, and chemical data handling.",Chemistry;C3,cheminformatics;molecular_modeling,library,C++,https://github.com/rdkit/rdkit,https://www.rdkit.org,BSD-3-Clause,cheminformatics;molecular-descriptors;fingerprints
70,RDKit.js,JavaScript port of the RDKit cheminformatics library,"A JavaScript library that brings RDKit's cheminformatics capabilities to web browsers and Node.js, enabling client-side molecular rendering and processing.",Chemistry;C3,cheminformatics;visualization,library,JavaScript,https://github.com/rdkit/rdkit-js,,BSD-3-Clause,web-cheminformatics;visualization;wasm
71,chemicalite,SQLite extension for storing and searching chemical structures,"A chemical database extension for SQLite that adds support for molecular structure storage, substructure search, and similarity search directly within the database engine.",Chemistry;Cheminformatics,data_storage;structure_search,library,C++,https://github.com/rvianello/chemicalite,,BSD-3-Clause,sqlite;cheminformatics;database-extension
72,rxn-reaction-preprocessing,Preprocessing pipeline for chemical reaction datasets,"A library for preprocessing chemical reaction data, offering functionalities for standardization, filtering, augmentation, and tokenization, developed by IBM Research.",C3;C3-01,reaction_cleaning;data_augmentation;tokenization,library,Python,https://github.com/rxn4chemistry/rxn-reaction-preprocessing,,MIT,reaction-prediction;preprocessing;nlp-for-chemistry
73,rxn-standardization,Chemical compound standardization using language models,"A tool for standardizing chemical compounds and reaction representations, leveraging language models to ensure data consistency for downstream tasks.",C3;C3-01,standardization;normalization,library,Python,https://github.com/rxn4chemistry/rxn-standardization,,MIT,standardization;transformers;chemistry
74,rxnaamapper,Reaction atom-mapping via language modeling,"A tool for generating atom-to-atom mappings in chemical reactions using a language model approach, facilitating reaction understanding and mechanism analysis.",C3;C3-01,atom_mapping,solver,Python,https://github.com/rxn4chemistry/rxnaamapper,,MIT,atom-mapping;attention-mechanism;reaction-smiles
75,rxnfp,Chemical reaction fingerprints and classification,"A library for generating data-driven reaction fingerprints using attention-based neural networks, enabling reaction classification and chemical space mapping.",C3;C3-01,representation_learning;reaction_classification;fingerprinting,library,Python,https://github.com/rxn4chemistry/rxnfp,http://rdcu.be/cenmd,MIT,fingerprints;bert;reaction-classification
76,rxnmapper,Unsupervised attention-guided atom-mapping tool,A state-of-the-art tool for extracting atom-to-atom mappings from chemical reactions using unsupervised learning and attention mechanisms from Transformer models.,C3;C3-01,atom_mapping,solver,Python,https://github.com/rxn4chemistry/rxnmapper,https://rxnmapper.ai,MIT,atom-mapping;transformers;unsupervised-learning
77,LocalMapper,Precise reaction atom-to-atom mapping tool,"A tool for generating precise atom-to-atom mappings for chemical reactions, designed to handle complex reaction mechanisms.",C3;C3-01,atom_mapping,solver,Python,https://github.com/snu-micc/LocalMapper,,None,atom-mapping;reaction-prediction;chemistry
78,ORDerly,Cleaning and extraction of Open Reaction Database (ORD) data,"A library and benchmark suite for extracting, cleaning, and structuring chemical reaction data from the Open Reaction Database (ORD) for machine learning applications.",C3;C3-01,data_cleaning;dataset_extraction;benchmarking,library,Python,https://github.com/sustainable-processes/ORDerly,,MIT,ord;data-cleaning;reaction-database
79,pharmacophore-toolkit,Simple pharmacophore model generation from RDKit,"A toolkit for generating pharmacophore models from molecular structures using RDKit, aiding in drug design and virtual screening.",Chemistry;Drug Discovery,pharmacophore_modeling;virtual_screening,library,Python,https://github.com/tlint101/pharmacophore-toolkit,,GPL-3.0,pharmacophore;rdkit;drug-design
80,molplotly,Interactive molecule visualization for Plotly,An add-on for Plotly that enables interactive visualization of chemical structures (2D images) on mouseover events in scatter plots.,Chemistry;Visualization,visualization;data_exploration,library,Python,https://github.com/wjm41/molplotly,,Apache-2.0,visualization;plotly;rdkit
81,RDMC,Reaction Data and Molecular Conformers package,"A package for handling chemical reactions, molecules, and conformers, with a focus on 3D structure manipulation and analysis.",Chemistry;C3,conformer_generation;reaction_modeling;3d_structure,library,Python,https://github.com/xiaoruiDong/RDMC,,MIT,conformers;rdkit;reaction-data
82,Reagents,Reagent prediction model using Molecular Transformer,"A tool for predicting reagents in chemical reactions using a Molecular Transformer architecture, improving data for reaction product prediction in a self-supervised fashion.",Chemistry;C3;C3-02,reaction_prediction;reagent_prediction,solver,Jupyter Notebook,https://github.com/Academich/reagents,,MIT,reaction-prediction;transformer;reagents
83,AutoWRFChem-Base,Automation workflow for running WRF-Chem simulations,"Stand-alone code to automatically run WRF-Chem simulations with NEI and MEGAN emissions and MOZART boundary conditions, facilitating atmospheric chemistry modeling.",Earth Science;Atmospheric Chemistry,simulation;workflow_automation,workflow,Python,https://github.com/CohenBerkeleyLab/AutoWRFChem-Base,,Unlicense,wrf-chem;atmospheric-chemistry;automation
84,Reaction Condition Recommendation,Machine learning model for reaction condition prediction,Code for training and deploying machine learning models specifically designed to recommend reaction conditions for organic chemistry reactions.,Chemistry;C3;C3-02,reaction_condition_prediction,solver,Python,https://github.com/Coughy1991/Reaction_condition_recommendation,,None,reaction-conditions;machine-learning;organic-chemistry
85,Equivariant-Graph-Transformer,Hybrid EGNN and Transformer for molecular property prediction,A deep neural network architecture combining Equivariant Graph Neural Networks (EGNN) and Transformers for accurate prediction of molecular properties.,Chemistry;C3,property_prediction,solver,Jupyter Notebook,https://github.com/Curtis-Wu/Equivariant-Graph-Transformer,,None,egnn;transformer;molecular-properties
86,SMILES Transformer,Pre-trained molecular fingerprinting using Transformers,"Implementation of the SMILES Transformer for generating pre-trained molecular fingerprints, useful for low-data drug discovery tasks.",Chemistry;C3,representation_learning;fingerprinting,library,Jupyter Notebook,https://github.com/DSPsleeporg/smiles-transformer,,MIT,smiles;transformer;fingerprint;drug-discovery
87,MPerformer,SE(3) Transformer-based Molecular Perceptron,"An SE(3) Transformer-based model designed for molecular property prediction, leveraging geometric deep learning.",Chemistry;C3,property_prediction;geometric_deep_learning,solver,Python,https://github.com/FanmengWang/MPerformer,,GPL-3.0,se3-transformer;molecular-property;geometric-dl
88,WGFormer,SE(3)-Transformer for molecular conformation prediction,An SE(3)-Transformer driven by Wasserstein Gradient Flows for predicting molecular ground-state conformations.,Chemistry;C3,conformation_prediction,solver,Python,https://github.com/FanmengWang/WGFormer,,GPL-3.0,conformation;se3-transformer;wasserstein
89,Llamol,Dynamic multi-conditional generative transformer for molecular design,A generative transformer model capable of de novo molecular design conditioned on multiple dynamic properties.,Chemistry;C3,molecular_generation;de_novo_design,solver,Python,https://github.com/Fraunhofer-SCAI/llamol,https://doi.org/10.1186/s13321-024-00863-8,NOASSERTION,generative-model;molecular-design;transformer
90,t5chem,Transformer-based model for chemical reaction tasks,"A unified Transformer-based model (T5) for various chemical reaction tasks including reaction prediction, retrosynthesis, and property prediction.",Chemistry;C3;C3-02,reaction_prediction;retrosynthesis,solver,Python,https://github.com/HelloJocelynLu/t5chem,,MIT,t5;reaction-prediction;retrosynthesis
